qseqid	sallseqid	qlen	slen	qstart	qend	sstart	send	length	evalue	bitscore	score	pident	qframe	align_len	coverage	sample_name
contig_1047	contig_574	92	91	1	91	1	91	91	1.41e-38	152	82	96.703	1	91	98.9130434782609	M5
contig_11498	contig_8435	92	91	1	90	1	90	90	1.09e-39	156	84	97.778	1	90	97.8260869565217	M5
contig_13487	contig_4522	91	92	1	91	1	91	91	2.98e-40	158	85	97.802	1	91	100	M5
contig_13581	contig_21362	91	92	1	91	1	91	91	1.38e-43	169	91	100	1	91	100	M5
contig_14809	contig_21362	91	92	1	90	1	91	91	2.31e-41	161	87	98.901	1	90	98.9010989010989	M5
contig_2806	contig_10529	92	91	2	91	1	91	91	1.09e-39	156	84	97.802	1	90	97.8260869565217	M5
contig_3118	contig_19141	93	93	1	90	3	93	91	2.37e-41	161	87	98.901	1	90	96.7741935483871	M5
contig_4675	contig_2041	86	90	2	86	1	86	86	6.01e-37	147	79	97.674	1	85	98.8372093023256	M5
contig_7412	contig_4522	90	92	1	90	1	91	91	1.06e-39	156	84	97.802	1	90	100	M5
contig_7862	contig_16337	86	92	2	86	1	84	85	1.01e-34	139	75	96.471	1	85	98.8372093023256	M5
contig_8611	contig_18878	90	92	1	90	1	91	91	1.06e-39	156	84	97.802	1	90	100	M5
contig_1047	contig_6231	92	87	6	92	1	87	87	2.55e-41	161	87	100	1	87	94.5652173913043	M4
contig_11498	contig_2942	92	91	1	91	1	91	91	3.3e-40	158	85	97.802	1	91	98.9130434782609	M4
contig_13487	contig_11868	91	91	1	91	1	91	91	3.26e-40	158	85	97.802	1	91	100	M4
contig_16028	contig_9738	87	84	8	85	1	78	78	5.19e-33	134	72	97.436	1	78	89.6551724137931	M4
contig_2806	contig_13905	92	91	3	88	2	88	87	4.27e-39	154	83	98.851	1	86	93.4782608695652	M4
contig_3138	contig_14229	92	78	14	92	1	78	80	1.21e-24	106	57	91.25	1	79	85.8695652173913	M4
